0,7200,604,162,624,185
1,7200,570,248,590,276
3,7200,609,347,631,376
5,7200,550,376,576,410
6,7200,446,460,471,496
7,7200,442,554,471,594
8,7200,528,609,559,649
9,7201,598,135,613,158
10,7201,589,155,605,177
0,7201,608,165,625,183
1,7201,576,255,593,281
12,7201,642,269,660,293
3,7201,615,353,635,380
5,7201,557,379,582,413
14,7201,494,441,518,473
6,7201,449,465,474,501
15,7201,514,480,545,527
7,7201,443,557,474,600
8,7201,533,608,566,650
9,7202,598,135,613,158
10,7202,589,155,604,177
0,7202,608,166,625,183
1,7202,576,255,593,282
12,7202,643,268,660,292
3,7202,615,351,635,378
5,7202,557,380,581,414
14,7202,494,441,518,473
6,7202,448,467,474,503
15,7202,514,481,545,529
7,7202,441,559,473,603
8,7202,536,607,568,647
9,7203,597,134,613,158
10,7203,589,155,604,177
18,7203,644,160,660,181
0,7203,608,166,624,184
1,7203,576,256,593,283
12,7203,643,267,661,291
19,7203,665,319,695,370
3,7203,616,349,636,377
5,7203,557,381,580,415
14,7203,495,442,517,474
6,7203,447,468,474,503
15,7203,514,481,545,528
7,7203,439,561,473,605
8,7203,535,600,569,644
9,7204,597,134,613,158
0,7204,607,167,624,184
1,7204,576,255,593,283
12,7204,643,266,661,289
19,7204,666,318,695,368
3,7204,616,348,636,375
5,7204,556,382,579,417
6,7204,446,471,474,507
15,7204,513,481,544,530
7,7204,437,562,472,607
8,7204,536,599,569,640
9,7205,597,135,613,158
0,7205,607,167,624,184
1,7205,574,260,592,285
19,7205,666,318,695,366
3,7205,616,347,637,374
5,7205,556,383,579,418
6,7205,446,473,473,508
7,7205,437,566,472,609
8,7205,536,595,570,636
9,7206,597,135,613,158
0,7206,607,167,623,185
1,7206,574,260,591,285
19,7206,667,318,695,364
3,7206,617,346,637,372
5,7206,555,384,578,420
6,7206,446,475,472,509
7,7206,437,567,471,610
8,7206,538,592,571,632
9,7207,597,135,613,158
0,7207,607,167,623,185
1,7207,573,261,591,286
3,7207,617,345,637,371
5,7207,555,385,578,421
14,7207,492,447,514,481
6,7207,445,477,471,510
7,7207,437,569,471,611
8,7207,539,589,572,628
0,7208,606,168,623,185
1,7208,572,262,591,287
3,7208,617,344,638,369
5,7208,555,387,578,422
14,7208,491,447,514,482
6,7208,444,479,470,512
7,7208,435,571,468,616
8,7208,540,583,575,625
0,7209,606,168,623,185
1,7209,572,263,590,287
3,7209,618,342,638,367
5,7209,554,388,578,422
6,7209,443,480,469,514
7,7209,434,574,467,618
8,7209,542,581,575,622
0,7210,606,169,623,186
1,7210,572,264,590,288
19,7210,667,313,695,357
3,7210,618,341,639,366
5,7210,554,389,578,423
6,7210,441,482,468,516
7,7210,434,577,467,619
8,7210,543,578,575,619
0,7211,606,169,622,186
1,7211,571,265,589,289
3,7211,618,339,639,364
5,7211,553,390,577,423
6,7211,439,483,468,519
7,7211,433,578,466,621
8,7211,544,575,575,616
0,7212,606,169,622,186
1,7212,571,266,589,290
3,7212,617,337,640,364
5,7212,553,390,577,424
6,7212,438,485,468,521
7,7212,433,580,465,623
8,7212,545,573,576,611
0,7213,605,169,622,186
1,7213,570,267,588,292
3,7213,618,334,640,364
5,7213,553,390,576,425
6,7213,435,485,467,524
7,7213,432,581,464,624
