3,1000,876,0,1006,142
4,1000,0,242,122,400
4,1001,0,354,25,450
3,1001,882,12,1000,141
11,1001,2,256,121,398
4,1002,0,354,25,450
3,1002,866,21,988,152
11,1002,3,257,124,399
4,1003,0,355,26,450
3,1003,858,35,981,161
11,1003,3,257,127,400
4,1004,0,354,26,451
3,1004,847,45,975,167
11,1004,3,258,130,401
4,1005,0,354,26,451
13,1005,838,64,960,198
11,1005,3,259,132,402
4,1006,0,354,26,450
13,1006,831,77,953,212
11,1006,2,260,134,403
4,1007,0,354,25,450
13,1007,819,87,942,222
11,1007,2,260,137,403
4,1008,0,354,24,450
13,1008,807,101,938,245
11,1008,2,260,138,405
13,1009,796,112,926,258
11,1009,2,261,140,406
13,1010,786,123,913,275
11,1010,3,263,140,407
13,1011,775,146,907,298
11,1011,3,264,142,407
13,1012,764,155,888,310
11,1012,2,264,144,408
13,1013,754,168,881,324
11,1013,2,265,147,410
13,1014,745,176,871,334
11,1014,2,266,148,412
13,1015,729,200,863,357
11,1015,2,269,149,414
13,1016,717,214,843,374
11,1016,2,271,150,415
13,1017,707,227,836,383
11,1017,2,272,152,417
11,1018,2,272,154,419
13,1018,691,247,827,407
11,1019,2,272,156,421
13,1019,680,262,817,421
11,1020,2,271,158,423
13,1020,663,288,800,446
11,1021,1,272,160,424
13,1021,654,296,795,459
11,1022,2,273,161,425
13,1022,641,307,784,477
11,1023,2,273,163,426
13,1023,627,332,773,499
11,1024,2,274,164,427
13,1024,613,342,753,516
11,1025,3,275,165,428
13,1025,602,354,748,532
11,1026,3,276,166,428
13,1026,586,380,736,554
11,1027,4,277,166,429
13,1027,575,388,724,572
11,1028,4,278,167,429
13,1028,557,401,709,590
11,1029,5,278,167,429
13,1029,545,428,700,613
11,1030,5,279,168,429
13,1030,532,438,688,631
11,1031,6,280,168,428
13,1031,524,450,673,645
11,1032,6,281,169,428
13,1032,504,477,657,673
11,1033,7,281,170,428
13,1033,491,488,650,690
11,1034,7,282,170,427
13,1034,477,515,635,713
11,1035,8,283,170,428
13,1035,468,527,626,719
11,1036,8,284,169,427
13,1036,450,545,611,719
11,1037,8,284,169,428
13,1037,441,562,599,719
11,1038,9,284,170,428
13,1038,435,579,585,719
11,1039,2,291,174,436
18,1039,431,608,571,715
11,1040,2,291,175,436
18,1040,427,623,572,710
11,1041,2,291,175,436
11,1042,2,291,175,436
11,1043,2,291,175,436
11,1044,2,291,175,436
11,1045,2,291,175,436
11,1046,2,292,174,436
11,1047,3,292,174,436
11,1048,3,292,174,435
11,1049,3,292,174,435
11,1050,3,293,174,435
11,1051,2,293,174,434
11,1052,2,294,175,434
11,1053,2,294,174,434
11,1054,2,293,174,434
11,1055,3,293,174,435
11,1056,3,293,174,435
11,1057,3,293,174,435
11,1058,3,293,175,435
11,1059,2,293,175,435
11,1060,2,292,175,435
11,1061,2,292,175,435
